table_name,constraint_name,constraint_type,column_name,foreign_table_name,foreign_column_name
entities,fk_entities_organization,FOREIGN KEY,organization_id,entities,id
experiment_trials,fk_experiment_trials_created_by,FOREIGN KEY,created_by,entities,id
experiment_trials,fk_experiment_trials_experiment,FOREIGN KEY,experiment_id,entities,id
membership_removal_requests,fk_removal_requests_approved_by,FOREIGN KEY,approved_by,entities,id
membership_removal_requests,fk_removal_requests_organization,FOREIGN KEY,organization_id,entities,id
membership_removal_requests,fk_removal_requests_requested_by,FOREIGN KEY,requested_by,entities,id
membership_removal_requests,fk_removal_requests_user,FOREIGN KEY,user_id,entities,id
organization_invitations,fk_org_invitations_invited_by,FOREIGN KEY,invited_by,entities,id
organization_invitations,fk_org_invitations_organization,FOREIGN KEY,organization_id,entities,id
organization_members,fk_org_members_invited_by,FOREIGN KEY,invited_by,entities,id
organization_members,fk_org_members_organization,FOREIGN KEY,organization_id,entities,id
organization_members,fk_org_members_user,FOREIGN KEY,user_id,entities,id
process_instances,fk_process_instances_process,FOREIGN KEY,process_id,processes,id
processes,fk_processes_created_by,FOREIGN KEY,created_by,entities,id
processes,fk_processes_organization,FOREIGN KEY,organization_id,entities,id
relationships,fk_relationships_from_entity,FOREIGN KEY,from_entity,entities,id
relationships,fk_relationships_to_entity,FOREIGN KEY,to_entity,entities,id
schema_versions,fk_schema_versions_schema_id,FOREIGN KEY,schema_id,schemas,id
